TEXT,LABEL
"Budget suna, bank balance ne silent mode on kar liya.",sarcastic
middle class ka pata nahi but Government ko budget seh badaa relief mila,sarcastic
Tax slab dekha aur sapno ka slab crack hota gaya,sarcastic
Bugdet itna balanced tha ki aam admi ka downfall ho gaya,sarcastic
"Salary aati hai, tax le jaata hai, so nice!!!",sarcastic
"Pata nahi Nirmala Sitaraman ki ""GROWTH"" ka matlab shayad ""GOODBYE"" hai..",sarcastic
"Budget 2026: expectations 100, reality 10!!",sarcastic
Middle class ko hamesha last seen peh chor deti hai Government!,sarcastic
Tax itna creative hai ki artists bhi sharma jayeeee,sarcastic
Budget dekh ke laga ki EMIs hi meri family hai!!,sarcastic
middle class drowning aur government shinning..,sarcastic
"lag raha aab motivation to live bhi taxable hai, after budget came..",sarcastic
"Salary hike ka sapna, tax cut ka nightmare.",sarcastic
Budget sunte hi calculator crashed….,sarcastic
Middle class ka role budget mein cameo jaisa tha…hahahaha!!!,sarcastic
Tax slab itna zayada high hai ki oxygen ki kami ho gai hai,sarcastic
"budget ka ""long term benefit"" pata nahiii kab ayega!!??",sarcastic
Middle class budget mai bas 1 example banke reh gai,sarcastic
"Budget 2026: rich richer, poor poorer, middle class-kahi nahi!!!",sarcastic
tax bharo tabhi deshbhakti dikhegi government ko middle class ki,sarcastic
Budget ke baad wallet ne resignation de diya,sarcastic
Government ne kaha inclusive growth par invite nahi kiya….....,sarcastic
middle class ka patience renewable resource hai shayad,sarcastic
Salary ko chor ke sab badh gaya budget mai,sarcastic
tax itna hai ki cashback bhi nahi mil raha,sarcastic
Budget presentation dekh ke popcorn hi affordable lag raha aab,sarcastic
"Middle class: na subsidy, na sympathy!!!",sarcastic
Government thought so much about us ki har cheez costly ker diya,sarcastic
"Budget stable, middle class unstable!!!!",sarcastic
budget ke baad savings bhi started flying away,sarcastic
"we wanted to be ""future ready"", government made us ""EMI ready""…hahahah!!!",sarcastic
pata nahi budget wali opportunity hame dikh kyu nahi rahi,sarcastic
Tax slab aisa hai jaise punishment system.,sarcastic
budget dekh ke financial planning ne chutti le li..,sarcastic
Middle class ka contribution sirf tax aur silance hai iss desh main,sarcastic
Budget 2026: hope sold separately,sarcastic
Tax clear kerte kerte kisi din mein clear ho jaungi,sarcastic
aab toh 1 din full day AC is also a luxury!,sarcastic
Middle class ki yaad Nirmala madam ko sirf speech mai aai,sarcastic
Budget sun ke laga financial freedom sirf reel peh hoti hai,sarcastic
governemnt ka har saal ka budget itna acha hota hai ki middle class depress ho jati hai,sarcastic
Budget 2026: dreams postponed successfully!!,sarcastic
"Governemnt ne kaha ""support"" bas emotional was silent!!!",sarcastic
Middle class ki halat dekh ke budget bhi awkward ho gaya…,sarcastic
budget ki kripaa seh salary account mai atee hi udd jati hai,sarcastic
"Budget ke baad ""saving"" sirf WhatsApp status hai.",sarcastic
Middle class ko aab daughter-in-law ke jaise bas adjust kerna padta hai,sarcastic
Middle class ka superpower hai adjust kerna,sarcastic
Tax banna aab hobby ban chuka hai,sarcastic
Budget 2026 ne confirm ker diya ki 2026 mai duniya ka the end hone wala hai..,sarcastic
